Newspaper,Date,Headline ,Content ,Human Summary,Genre
Times of India,"February 23, 2010",Mumbai office rents twice of Manhattan,Comparison indicating Mumbai office rents being twice that of Manhattan.,Noting the high cost of office rents in Mumbai compared to Manhattan.,Real Estate and Economic Trends
Times of India,"February 23, 2010",Low-cost airlines plan fleet expansion,Low-cost airlines reveal plans for expanding their aircraft fleet.,Strategic intentions of low-cost airlines for fleet expansion.,Aviation and Business
Times of India,"February 23, 2010",ADAG moves Sebi against Fame deal,Anil Dhirubhai Ambani Group (ADAG) approaches SEBI regarding the Fame India deal.,ADAG's move seeking regulatory intervention in the Fame India deal.,Business and Financial Markets
Times of India,"February 23, 2010",Realty stocks take a beating despite revival,"Despite the revival of the sector, real estate stocks face a decline.",Observation of a setback in real estate stocks despite sector recovery.,Real Estate and Stock Market
Times of India,"February 23, 2010",‘Base rate for SBI around 8%’,Indication that the State Bank of India's (SBI) base rate is expected to be around 8%.,Information on the projected base rate for the State Bank of India.,Banking and Interest Rates
Times of India,"May 15, 2011",Vijay is happy with Amma's victory,Actor Vijay expresses happiness about the victory of Tamil Nadu Chief Minister Jayalalithaa.,Vijay's positive reaction to Jayalalithaa's political success.,Celebrity and Politics
Times of India,"May 15, 2011",Polls apart,Overview or analysis of differences between political parties in election results.,Examination of the distinctions observed in election outcomes.,Politics and Election Results
Times of India,"May 15, 2011",I've missed 20 years of my daughter's life',Statement from an individual expressing regret for missing significant years with their daughter.,Regret expressed for not being present in a daughter's life for two decades.,Personal Reflection and Family
Times of India,"May 15, 2011",I oil my hair with mustard oil',"Personal care routine mentioned by an individual, using mustard oil for hair.",Sharing a personal grooming practice involving the use of mustard oil.,Lifestyle and Hair Care
Times of India,"May 15, 2011",Appa is fine: Aishwarya Dhanush,"Reassurance from Aishwarya Dhanush about the well-being of her father, Rajinikanth.",Aishwarya Dhanush confirming the good health of her father.,Celebrity Health and Family
Times of India,"May 15, 2011",Does stress dilute romance?,Exploration of the impact of stress on romantic relationships.,Examination of stress's potential effect on the quality of romantic connections.,Relationships and Stress
Times of India,"May 15, 2011",Ready's music is a hit,"Positive reception of the music from the movie ""Ready.""","Recognition of the popularity of the film ""Ready"" based on its music.",Entertainment and Music
Times of India,"May 15, 2011",A fun-filled musical bash in Chennai,Description of a lively musical event in Chennai.,Coverage of an entertaining musical celebration in the city of Chennai.,Cultural Events and Entertainment
Times of India,"May 15, 2011",Motherhood changes one's perception: Lopez,Jennifer Lopez's perspective on how motherhood alters one's outlook.,Insight from Jennifer Lopez about the transformative effect of motherhood.,Celebrity Parenthood
Times of India,"May 15, 2011",Real life drug peddler in DMD,"Mention of a real-life drug peddler connection in the movie ""Dum Maaro Dum.""","Noting the inclusion of a real-life inspiration in the film ""Dum Maaro Dum.""",Entertainment and Realism
Times of India,"May 15, 2011",I'm a victim of political rivalry: Subhash Ghai,Filmmaker Subhash Ghai claiming to be a victim of political rivalry.,Subhash Ghai's assertion of being targeted due to political animosity.,Celebrity and Politics
Times of India,"May 15, 2011",Priyanka Chopra at a glam evening,Coverage of Priyanka Chopra's presence at a glamorous evening event.,Highlighting Priyanka Chopra's attendance at a stylish and upscale gathering.,Celebrity and Social Events
Times of India,"May 15, 2011",Rohan Sippy loves item songs,Filmmaker Rohan Sippy expressing fondness for item songs in movies.,Rohan Sippy's positive view on the inclusion of item songs in films.,Bollywood and Filmmaking
Times of India,"May 15, 2011",Rahman is a true musician: Natalie Di,"Natalie Di, expressing admiration for A.R. Rahman's musical talents.",Acknowledgment of A.R. Rahman's musical excellence by Natalie Di.,Music and Celebrity
Times of India,"May 15, 2011",Hindi films at Cannes,Inclusion of Hindi films at the Cannes Film Festival.,Noting the representation of Hindi films at the prestigious Cannes Film Festival.,Bollywood and International Film
Times of India,"May 15, 2011",Sujata's victory over cancer...,Triumph over cancer by an individual named Sujata.,Celebrating Sujata's successful battle against cancer.,Inspirational Health Story
Times of India,"May 15, 2011","Give me pistols, swords, and I'm Capt. Teague!'",Actor expressing readiness for action-packed roles.,Actor's declaration of preparedness for intense and action-oriented characters.,Celebrity and Film Roles
Times of India,"May 15, 2011",T'wood making impact on B'wood,Telugu cinema's impact on Bollywood acknowledged.,Recognition of the influence of Telugu cinema on the Hindi film industry.,Bollywood and Regional Cinema
Times of India,"May 15, 2011",A starry do in Pune,Report on a star-studded event happening in Pune.,Description of a glamorous event with the presence of numerous celebrities.,Celebrity and Social Events
Times of India,"May 15, 2011",Surprise b'day party for Madhuri?,Speculation or report about a surprise birthday party for Madhuri Dixit.,Highlighting the possibility of a surprise celebration for Madhuri Dixit's birthday.,Celebrity and Social Events
Times of India,"Nov 15, 2011",Get sexy this winter: Dry skin care,Tips on winter dry skin care to stay sexy.,Beauty advice for maintaining attractive skin during the winter season.,Beauty and Health
Times of India,"Nov 15, 2011",What’s your child doing online?,Discussion on children's online activities.,Raising awareness about children's online behavior and safety.,Parenting and Online Safety
Times of India,"Nov 15, 2011",Raj Thackeray at a filmi do,Raj Thackeray's presence at a Bollywood event.,Highlighting the attendance of Raj Thackeray at a filmy gathering.,Celebrity and Politics
Times of India,"Nov 15, 2011",Celebs to celebrate Children’s Day,Coverage of celebrities celebrating Children’s Day.,Reporting on celebrities participating in Children's Day celebrations.,Celebrity and Social Events
Times of India,"Nov 15, 2011",Sridevi is a shopaholic,Revealing Sridevi's shopping habits.,Discussing Sridevi's inclination towards shopping.,Celebrity and Lifestyle
Times of India,"Nov 15, 2011",Vidya Balan at a telly awards night,Vidya Balan's presence at a television awards night.,Reporting Vidya Balan attending an awards ceremony for television.,Celebrity and Television
Times of India,"Nov 15, 2011",Party time for Bickram Ghosh,Celebration event for Bickram Ghosh.,Highlighting a party or celebration involving Bickram Ghosh.,Celebrity and Music
Times of India,"Nov 15, 2011",Govinda to produce a rom-com,Govinda's plan to produce a romantic comedy.,Announcing Govinda's venture into producing a romantic comedy film.,Bollywood and Film Production
Times of India,"Nov 15, 2011",Arshad Warsi is waiting for some kisses,Arshad Warsi expressing anticipation for romantic scenes.,Arshad Warsi's playful statement about expecting kissing scenes in a project.,Celebrity and Film Roles
Times of India,"Nov 15, 2011",Satish Ketineni's wedding do,Celebration event for Satish Ketineni's wedding.,Describing a wedding-related celebration for Satish Ketineni.,Celebrity and Social Events
Times of India,"Nov 15, 2011",Akshaye Khanna: New biker boy in B-town,Akshaye Khanna's interest in biking.,Discussing Akshaye Khanna's newfound passion for biking.,Celebrity and Lifestyle
Times of India,"Nov 15, 2011",Asin is too sexy for Kamaal R Khan,Kamaal R Khan's comment on Asin's sex appeal.,Reporting on Kamaal R Khan's statement about Asin being too sexy.,Celebrity and Gossip
Times of India,"Nov 15, 2011",Shah Rukh founds his real soulmate,Shah Rukh Khan's revelation about his soulmate.,Highlighting Shah Rukh Khan's statement on finding his real soulmate.,Celebrity and Relationships
Times of India,"Nov 15, 2011",Genelia D’Souza is a bottle collector,Genelia D’Souza's hobby of collecting bottles.,Sharing information about Genelia D’Souza's collection hobby.,Celebrity and Hobbies
Times of India,"Nov 15, 2011",Abhishek Rao and Shruti Keerthi's grand wedding,Description of a grand wedding event.,Detailing the grand wedding ceremony of Abhishek Rao and Shruti Keerthi.,Celebrity and Social Events
Times of India,"Nov 15, 2011",Marko Saaresto & Olli Tukiainen love paneer,Musicians expressing love for paneer.,Reporting on musicians expressing their fondness for paneer.,Celebrity and Food
Times of India,"Nov 15, 2011",Nani is thrilled with Pilla Zamindar's response,Actor Nani's excitement about film response.,Discussing Nani's positive reaction to the response received for Pilla Zamindar.,Celebrity and Film Reception
Times of India,"Nov 15, 2011",Beckhams' to attend KP Singh’s birthday bash,Beckham family's attendance at a birthday party.,Announcing the presence of the Beckham family at KP Singh’s birthday celebration.,Celebrity and Social Events
Times of India,"Nov 15, 2011",Shakira to interact with kids in Udaipur,Shakira's interaction with children in Udaipur.,Highlighting Shakira's engagement with kids during her visit to Udaipur.,Celebrity and Social Causes
Times of India,"Nov 15, 2011",Ustaad Ghulam Ali to make big screen debut,Ustaad Ghulam Ali's entry into films.,Announcing Ustaad Ghulam Ali's debut in the world of cinema.,Celebrity and Film Debut
The Economic Times,"March 16, 2010",Hollywood movies have been driven by melting pot of US,The article discusses the influence of the US cultural melting pot on Hollywood movies. It may explore how diverse cultures contribute to the film industry.,Hollywood movies influenced by US cultural diversity.,Entertainment/Culture
The Economic Times,"March 16, 2010",Export ban on pulses may stay for another year,The article covers the possibility of extending the export ban on pulses for an additional year. It might delve into reasons and implications for the decision.,Extension of export ban on pulses considered.,Business/Economy
The Economic Times,"March 16, 2010",Real value for 3G services will come from top 110 towns',"The piece highlights the assertion that the real value of 3G services will be realized in the top 110 towns, possibly discussing the strategic focus of 3G implementation.",Emphasizing the importance of top towns in 3G services.,Technology/Telecom
The Economic Times,"March 16, 2010",Takeover won't pinch GCPL finances,This article likely discusses the financial impact of a takeover on GCPL (Godrej Consumer Products Limited) and why it won't adversely affect its finances.,Assuring minimal financial impact of a takeover on GCPL.,Business/Finance
The Economic Times,"March 16, 2010",Some staff of Bangalore-based MNCs in touch with terrorists,The headline suggests a sensitive issue involving potential connections between certain employees of Bangalore-based MNCs and terrorist activities. The article may delve into details and investigations.,Alleged links between MNC employees in Bangalore and terrorism.,Security/Investigation
The Economic Times,"March 16, 2010",Hollywood movies have been driven by melting pot of US,This article explores the influence of the melting pot culture on Hollywood movies.,Analysis of the impact of cultural diversity on Hollywood movies.,Entertainment & Culture
The Economic Times,"March 16, 2010",Export ban on pulses may stay for another year,The article discusses the possibility of extending the export ban on pulses.,Examination of the potential extension of the export ban on pulses.,Business & Economy
The Economic Times,"March 16, 2010",Real value for 3G services will come from top 110 towns',Insights on the real value of 3G services focusing on the top 110 towns.,Analysis of the significant towns for realizing the value of 3G services.,Technology & Telecom
The Economic Times,"March 16, 2010",Takeover won't pinch GCPL finances,Discussion on the financial impact of a takeover on GCPL.,Evaluation of the financial implications of a potential takeover on GCPL.,Business & Finance
The Economic Times,"March 16, 2010",Some staff of Bangalore-based MNCs in touch with terrorists,Report on alleged connections between MNC staff in Bangalore and terrorists.,Coverage of suspected links between Bangalore-based MNC employees and terrorist activities.,Security & Crime
The Economic Times,"March 16, 2010",Bureaucracy as a career option for women,Exploration of bureaucracy as a viable career choice for women.,Examination of the career opportunities for women in the field of bureaucracy.,Career & Gender
The Economic Times,"March 16, 2010",Flying to South-East Asia gets a lot cheaper,Information on reduced airfare for travel to South-East Asia.,Highlights the decrease in air travel costs to South-East Asian destinations.,Travel & Aviation
The Economic Times,"March 16, 2010",Domestic airlines see 17% traffic growth in Feb,Analysis of the 17% growth in air traffic for domestic airlines in February.,Examination of the notable increase in air travel for domestic airlines in February.,Business & Economy
The Economic Times,"March 16, 2010",Commercial vehicle sales to drive growth,Discussion on how commercial vehicle sales are expected to drive economic growth.,Evaluation of the role of commercial vehicle sales in stimulating economic growth.,Business & Economy
The Economic Times,"March 16, 2010",Avoid negative net worth stocks like the Plague,Advice on steering clear of stocks with negative net worth.,Cautionary guidance against investing in stocks with negative net worth.,Business & Finance
The Economic Times,"November 15, 2010",India raises row over stapled visas to Kashmiris with China,Report on India raising concerns about stapled visas for Kashmiris issued by China.,India expresses objections to China's issuance of stapled visas to Kashmiris.,International Relations
The Economic Times,"November 15, 2010",Illiteracy a hurdle in inclusion: Panel,Discussion on illiteracy being an obstacle to inclusive development.,Panel highlights illiteracy as a barrier to inclusive growth.,Social Issues
The Economic Times,"November 15, 2010",Services gains seen in pact with Malaysia,Potential gains in services through a pact with Malaysia.,Analysis of the expected benefits in services from a pact with Malaysia.,Business & Economy
The Economic Times,"November 15, 2010",Coke plans new unit to enter pure juices,Coca-Cola's plan to establish a new unit for entering the pure juices market.,Coverage of Coca-Cola's strategy to enter the market for pure juices.,Business & Finance
The Economic Times,"November 15, 2010",Central govt may curb onion export as local prices zip,Possibility of the central government restricting onion exports due to rising local prices.,Discussion on potential measures to control onion prices through export curbs.,Business & Economy
The Economic Times,"November 15, 2010",US Indian leaders gather to address challenges,Gathering of US Indian leaders to address challenges in the community.,Report on the meeting of US Indian leaders to discuss and tackle community challenges.,Community Affairs
The Economic Times,"November 15, 2010",Sugar prices fall the most in 22 yrs in New York,"Significant decline in sugar prices in New York, the most in 22 years.",Coverage of the sharp fall in sugar prices in New York commodity markets.,Business & Economy
The Economic Times,"November 15, 2010",Samsonite has grabbed share from us: VIP,VIP's acknowledgment that Samsonite has gained market share over them.,VIP comments on Samsonite's market share growth affecting their business.,Business & Finance
The Economic Times,"November 15, 2010",Brand evolution: Airtel’s new avatar likely soon,Speculation on Airtel undergoing a brand evolution with a new avatar.,Discussion on the likelihood of Airtel unveiling a new brand identity.,Business & Finance
The Economic Times,"November 15, 2010",Merck to take buyout route to grow here,Merck's strategy to use the buyout route for expansion in the Indian market.,Report on Merck's plan to grow in the Indian market through acquisitions.,Business & Finance
The Economic Times,"November 15, 2010",Vodafone wants to settle tax row out of court; Dutch government writes to India,Vodafone's desire to resolve the tax dispute out of court; communication from the Dutch government to India.,Coverage of Vodafone's preference for an out-of-court settlement in the tax row.,Business & Finance
The Economic Times,"November 15, 2010",Indian may buy UK’s holiday co Pontin’s,An Indian entity considering the purchase of the UK holiday company Pontin's.,Report on the potential acquisition of Pontin's by an Indian buyer.,Business & Finance
The Economic Times,"November 15, 2010",Reliance Communications set to raise $500 million abroad,Reliance Communications' plan to raise $500 million through foreign funding.,Announcement of Reliance Communications' fundraising initiative in international markets.,Business & Finance
The Economic Times,"November 15, 2010",‘AI’s T3 shift is not an overnight activity’,Discussion on the shift of Air India's Terminal 3 not being an overnight process.,Coverage of the gradual transition process for Air India's Terminal 3.,Business & Economy
The Economic Times,"November 15, 2010","IMF plans fresh Iceland aid, says economy stabilizing",IMF's plan for new financial aid to Iceland and assessment of the stabilizing economy.,Report on the IMF's initiative for financial aid and observations on Iceland's stabilizing economy.,International Finance
The Economic Times,"November 15, 2010",Cos can use legal financial structures to save tax: Tribunal,"Companies allowed to use legal financial structures for tax savings, as per tribunal ruling.",Coverage of a tribunal ruling permitting companies to utilize legal structures for tax benefits.,Business & Finance
The Economic Times,"November 15, 2010","‘Accountability, openness must for inclusive growth’",Emphasis on accountability and openness for achieving inclusive growth.,Advocacy for accountability and transparency in the pursuit of inclusive growth.,Social Issues
The Economic Times,"November 15, 2010",‘There won’t be complete replacement of notebook’,Prediction that notebooks won't be completely replaced by other devices.,Discussion on the enduring presence of notebooks despite technological advancements.,Technology & Gadgets
The Economic Times,"November 15, 2010","We’ll play to our strengths in SME and NRI space: Shyam Srinivasan, Federal Bank",Shyam Srinivasan's strategy for Federal Bank to focus on SME and NRI sectors.,Federal Bank's CEO outlines the strategic emphasis on SME and NRI markets.,Business & Finance
The Economic Times,"November 15, 2010",India will again grow at 9%: FM,Optimistic statement by the Finance Minister that India will achieve 9% growth again.,Finance Minister's positive outlook on India's potential return to 9% economic growth.,Business & Economy
The Economic Times,"November 15, 2010",Need of the hour is dynamic regulator: Power cos,Power companies emphasize the need for a dynamic regulator.,Call for a regulatory framework in the power sector that is adaptable and dynamic.,Business & Economy
The Economic Times,"November 15, 2010",Water a more serious issue than energy crisis: Montek,Montek Singh Ahluwalia highlighting water as a more serious issue than the energy crisis.,Discussion on the prioritization of water-related challenges over energy crises.,Environmental Issues
The Economic Times,"November 15, 2010",World Economic Forum: India needs to manage diverse risks,"Emphasis on India needing to manage diverse risks, as discussed in the World Economic Forum.",Coverage of discussions at the World Economic Forum regarding India's risk management.,Business & Economy
The Economic Times,"November 15, 2010",Rupee likely to trade in 44.35 to 45.25 range against US dollar,Projections of the rupee trading in the range of 44.35 to 45.25 against the US dollar.,Analysis of the expected trading range for the Indian rupee against the US dollar.,Business & Economy
The Economic Times,"November 15, 2010","Have learnt from Satyam experience: Dennis Nally, PwC International",Acknowledgment by Dennis Nally of PwC International that lessons were learned from the Satyam scandal.,PwC International's recognition of learning lessons from the Satyam corporate scandal.,Business & Finance
The Economic Times,"November 15, 2010",Obama leaves Asia reflecting on power shift,"Reflection on President Obama's departure from Asia, contemplating power shifts.",Analysis of President Obama's departure from Asia with considerations on changing power dynamics.,International Relations
The Economic Times,"November 15, 2010",US must 'step up game' to match Asia: Obama,President Obama's call for the US to 'step up its game' to match Asia's growth.,Coverage of President Obama urging the United States to match the growth pace of Asia.,International Relations
The Economic Times,"November 15, 2010",Ten-year paper yield to trade between 8% & 8.15%,Projections of the ten-year paper yield trading between 8% and 8.15%.,Analysis of the expected trading range for the ten-year paper yield.,Business & Economy
The Economic Times,"November 15, 2010","A cut above the rest, MFIs in East ease borrowers’ pain",Recognition of Microfinance Institutions (MFIs) in the East for easing borrowers' pain.,Acknowledgment of the positive impact of MFIs in the Eastern region on borrowers.,Business & Economy
The Economic Times,"November 15, 2010",More Chinese than Indians in US colleges,Observation that there are more Chinese students than Indians in US colleges.,Report on the demographic distribution of Chinese and Indian students in US educational institutions.,Education & Demography
The Economic Times,"November 15, 2010",Russia launches rocket carrying US satellite,Russia's launch of a rocket carrying a US satellite.,Coverage of the satellite launch by Russia carrying a payload from the United States.,Science & Technology
The Economic Times,"November 15, 2010",Jammu and Kashmir removed from list of disputes under UN,Jammu and Kashmir removed from the list of disputes under the United Nations.,Report on the change in status for Jammu and Kashmir regarding UN-listed disputes.,International Relations
The Economic Times,"November 15, 2010",Obama tells Republicans he will work with them,President Obama's assurance to Republicans that he will work with them.,Coverage of President Obama's commitment to collaboration with Republicans.,Politics & Governance
The Economic Times,"November 15, 2010",Chinese supercomputer named world's fastest,Recognition of a Chinese supercomputer as the world's fastest.,Report on the acknowledgment of a Chinese supercomputer for achieving the status of the world's fastest.,Science & Technology
The Economic Times,"November 15, 2010",Telenor puts onus of spectrum allocation on Indian partner,Telenor's emphasis on the Indian partner for spectrum allocation responsibility.,Discussion on Telenor's stance regarding the allocation of spectrum responsibilities.,Business & Finance
The Economic Times,"November 15, 2010",Revoke forest clearance for Posco: FAC,Forest Advisory Committee's call to revoke forest clearance for Posco.,Report on the recommendation by the Forest Advisory Committee regarding Posco's forest clearance.,Environmental Issues
The Economic Times,"November 15, 2010",The regulatory craft,Reflection on the regulatory framework in business and finance.,Discussion on the dynamics and nuances of regulatory frameworks.,Business & Finance
The Economic Times,"November 15, 2010",ED sleuths target Adani Enterprises after boss’ rap,Enforcement Directorate targets Adani Enterprises following the boss's criticism.,Coverage of ED's actions against Adani Enterprises in response to the boss's remarks.,Business & Finance
The Economic Times,"March 15, 2012",Subtle schism,Discussion on subtle divisions or distinctions in a certain context.,Exploration of nuanced differences in a particular situation.,Opinion & Analysis
The Economic Times,"March 15, 2012","Indian IT services industry is expected to reach $100 bn in revenues this year: V Balakrishnan, CFO, Infosys",Projections by Infosys CFO on the expected revenue milestone for the Indian IT services industry.,Presentation of V Balakrishnan's forecast for the Indian IT services industry reaching $100 billion in revenues.,Business & Economy
The Economic Times,"March 15, 2012","Rail Budget 2012: India Inc lauds, party loathes reformist budget",Divergent reactions from India Inc and political parties to the reformist Rail Budget 2012.,Coverage of contrasting responses to the Rail Budget from corporate entities and political factions.,Business & Politics
The Economic Times,"March 15, 2012",What of road safety? Is the finance minister bothered?,Inquiry into the attention given to road safety in the context of the Finance Minister's priorities.,Examination of concerns about road safety and the perceived attention from the Finance Minister.,Infrastructure & Governance
The Economic Times,"March 15, 2012",Bombay High Court quashes tax demand on mutual funds' income from pass through certificates,Bombay High Court's decision to dismiss tax demand on mutual funds related to pass-through certificates.,Report on the legal outcome regarding tax implications on mutual funds' income.,Legal & Finance
The Economic Times,"March 15, 2012",Islands affected by climate change must consider radical options,Call for islands impacted by climate change to explore radical solutions.,Advocacy for exploring unconventional approaches by islands grappling with the effects of climate change.,Environment & Climate
The Economic Times,"March 15, 2012",Greece gets second 130-billion-euro financial bailout,Announcement of Greece securing a second 130-billion-euro financial bailout.,Report on the financial support provided to Greece through a second bailout package.,International Finance
The Economic Times,"March 15, 2012",Rail Budget 2012: Resist pressure to roll back much-needed hikes in passenger fares,Call to resist pressure to reverse essential hikes in passenger fares outlined in Rail Budget 2012.,Advocacy for maintaining necessary increases in passenger fares despite potential opposition.,Infrastructure & Economy
The Economic Times,"March 15, 2012",Railway Budget 2012 after-effects: Congress will have to go ally shopping as Trinamool Congress plays opposition,"Analysis of the aftermath of Rail Budget 2012, with Congress seeking new allies due to opposition from Trinamool Congress.","Examination of political developments post the Rail Budget, with Congress seeking new alliances.",Politics & Governance
The Economic Times,"March 15, 2012","After Mamata Banerjee's outburst, oil cos fear no hike in prices",Concerns from oil companies about the possibility of no hike in prices following Mamata Banerjee's objections.,Report on apprehensions within oil companies regarding the potential absence of price hikes.,Business & Politics
The Economic Times,"March 15, 2012","Railway Budget 2012: Opposition terms it deceitful, anti- aam admi and a recipe for disaster","Opposition's characterization of Rail Budget 2012 as deceitful, anti-common man, and a recipe for disaster.",Presentation of the opposition's critical assessment of Rail Budget 2012.,Politics & Governance
The Economic Times,"March 15, 2012",No more gas-based plants till 2015: Govt to power companies,Government directive to power companies to refrain from establishing gas-based plants until 2015.,Report on the government's instruction to power companies regarding gas-based plant projects.,Energy & Policy
The Economic Times,"March 15, 2012",Railway Budget 2012: The reformist Dinesh Trivedi who dared fare hike,"Recognition of Dinesh Trivedi's reformist approach in Rail Budget 2012, including the daring fare hike.","Acknowledgment of Dinesh Trivedi's bold decisions, particularly the fare hike, in Rail Budget 2012.",Infrastructure & Governance
The Economic Times,"March 15, 2012",Wipro fails to sell all shares put through auction,Report on Wipro's unsuccessful attempt to sell all shares offered through an auction.,Coverage of the outcome of Wipro's auction for the sale of shares.,Business & Finance
The Economic Times,"March 15, 2012",Rail budget 2012-13: Rail stocks crash after a good start,Observation of the decline in rail stocks after an initially positive response to Rail Budget 2012-13.,"Report on the fluctuation in rail stocks, experiencing a downturn despite an initial positive trend.",Business & Economy
The Economic Times,"March 15, 2012","Derek O'Brien, Trinamool Congress MP, uses Twitter against Railway Budget",Trinamool Congress MP Derek O'Brien leveraging Twitter to express opposition to Rail Budget decisions.,Coverage of Derek O'Brien's use of Twitter to convey Trinamool Congress's disapproval of Rail Budget measures.,Politics & Social Media
The Economic Times,"March 15, 2012",Government may move amendment to keep Lokayuktas out of legislation's ambit,Possibility of the government amending legislation to exclude Lokayuktas from its scope.,Report on potential amendments to legislation regarding the inclusion or exclusion of Lokayuktas.,Governance & Legislation
The Economic Times,"March 15, 2012","Want money? Shun non-core activities, says finmin to banks",Finance Ministry's advice to banks to focus on core activities and avoid non-core ventures.,Communication of the Finance Ministry's guidance to banks emphasizing core business focus.,Banking & Finance
The Economic Times,"March 15, 2012",DMK competes with AIADMK in Parliament,Observation of the DMK engaging in competitive activities with the AIADMK in Parliament.,Report on the DMK's competitive stance vis-a-vis the AIADMK during parliamentary proceedings.,Politics & Governance
The Economic Times,"March 15, 2012",BJD supports NDA motion against NCTC,BJD's support for the NDA motion opposing the National Counter Terrorism Centre (NCTC).,Coverage of BJD's alignment with NDA in opposition to the National Counter Terrorism Centre.,Politics & Security
The Economic Times,"March 15, 2012",Heard on the street: Glodyne Technoserve soars on 3k-order,"Market reaction to Glodyne Technoserve witnessing a surge following a 3,000 crore order.",Report on market dynamics and Glodyne Technoserve's stock rise due to a substantial order.,Business & Finance
The Economic Times,"March 15, 2012","Brokers' call: Consumer spend to light up Havells, says CLSA",Brokerage recommendation: CLSA suggests that consumer spending will boost Havells.,Presentation of CLSA's brokerage advice indicating potential growth for Havells based on consumer spending.,Business & Finance
The Economic Times,"March 15, 2012",Railway Budget 2012: Was Dinesh Trivedi's defiance of Mamata seen as a pre-emptive move?,Analysis of whether Dinesh Trivedi's defiance of Mamata Banerjee was a pre-emptive strategic move.,Examination of the perception of Dinesh Trivedi's actions as a pre-emptive strategy.,Politics & Governance
The Economic Times,"March 15, 2012",3D Printing: The technology can revolutionize manufacturing & healthcare industry,Exploration of the revolutionary potential of 3D printing in manufacturing and healthcare.,Discussion on the transformative impact of 3D printing technology on manufacturing and healthcare sectors.,Technology & Innovation
The Economic Times,"March 15, 2012",Acer pips HP; becomes No. 1 in local desktop sales,Acer surpasses HP to become the number 1 brand in local desktop sales.,"Report on Acer's achievement of becoming the top brand in local desktop sales, surpassing HP.",Business & Technology
The Economic Times,"March 15, 2012",India ranked 9th among top 10 manufacturers,India's ranking as the 9th among the top 10 manufacturing nations globally.,Overview of India's position among the top global manufacturing nations.,Business & Economy
The Economic Times,"March 15, 2012",Suzlon refutes talk of Alstom eyeing REpower Systems,Suzlon denies rumors of Alstom considering an interest in acquiring REpower Systems.,Clarification by Suzlon regarding speculations on Alstom's potential interest in REpower Systems.,Business & Finance
The Economic Times,"March 15, 2012",112 government websites hacked in 3 months: Sachin Pilot,Revelation by Sachin Pilot that 112 government websites were hacked in the past 3 months.,Report on the disclosure by Sachin Pilot regarding cyberattacks on 112 government websites.,Cybersecurity & Government
The Economic Times,"March 14, 2013",Railways to name train after Delhi gangrape victim,Decision to name a train after the victim of the Delhi gangrape incident.,Report on the initiative to dedicate a train in memory of the Delhi gangrape victim.,Social & Commemorative
The Economic Times,"March 14, 2013",Wheat exports from Australia seen increasing 13%: CBH,"Anticipation of a 13% increase in wheat exports from Australia, as projected by CBH.",Coverage of CBH's forecast regarding the expected growth in wheat exports from Australia.,Agriculture & Trade
The Economic Times,"March 14, 2013","Marriage on back burner, Rahul Gandhi settles into new role as chief arbiter in Congress","Observation of Rahul Gandhi's focus on his role as the chief arbiter in Congress, with marriage placed on hold.",Report on Rahul Gandhi prioritizing his role within Congress and delaying marriage plans.,Politics & Leadership
The Economic Times,"March 14, 2013",There is no case against the Italians,Statement asserting the absence of a case against the Italians in a certain context.,Report on the claim that there is no legal case against individuals from Italy in a specific matter.,Legal & Politics
The Economic Times,"March 14, 2013","Gold swings near March high on improving data, stimulus outlook",Discussion on gold prices nearing the March high due to positive economic data and stimulus expectations.,"Exploration of factors contributing to the fluctuation in gold prices, including economic data and stimulus prospects.",Precious Metals & Finance
The Economic Times,"March 14, 2013",Delhi discom BRPL slams power grid for cut in power supply,Criticism from Delhi discom BRPL directed at the power grid for a reduction in power supply.,Report on BRPL's dissatisfaction with the power grid regarding a decrease in power supply.,Energy & Utilities
The Economic Times,"March 14, 2013","Huge debt of Rs 46,000 cr weighs heavy on Jaiprakash Associates","Highlighting the substantial debt burden of Rs 46,000 crore impacting Jaiprakash Associates.",Coverage of the significant debt load affecting Jaiprakash Associates and its implications.,Business & Finance
The Economic Times,"March 14, 2013",Group M forms youth panel to get seniors up to speed,Formation of a youth panel by Group M to bring seniors up to speed on relevant matters.,Report on Group M's initiative to establish a youth panel for knowledge transfer to senior members.,Business & Strategy
The Economic Times,"March 14, 2013",Companies think investing in talent not paying off: Mercer Survey,Findings from a Mercer survey indicating that companies feel investing in talent is not yielding desired returns.,Overview of the results from a Mercer survey suggesting dissatisfaction among companies regarding talent investment outcomes.,Business & HR
The Economic Times,"March 14, 2013",Moily seeks OMCs’ view on ministry plan to cut subsidy,Request from Veerappa Moily to oil marketing companies for their opinion on the ministry's plan to reduce subsidy.,Coverage of Moily seeking feedback from oil marketing companies regarding the proposed subsidy reduction.,Energy & Policy
The Economic Times,"March 14, 2013",ValueFirst Digital Media acquires clk2c.com,Acquisition news: ValueFirst Digital Media acquires clk2c.com.,Announcement of ValueFirst Digital Media's acquisition of clk2c.com.,Business & Technology
The Economic Times,"March 14, 2013","JNPT to spend Rs 1k Cr on road, rail infrastructure","Decision by JNPT to invest Rs 1,000 crore in road and rail infrastructure.",Report on JNPT's commitment to allocate funds for the enhancement of road and rail infrastructure.,Infrastructure & Investment
